ags,name,verwaltungsform,bev_30_06,schulden_gesamt_eur,kredite_eur,kassenkredite_eur
01055100,Schashagen,50,1979,501975,501975,-
01055100,Schönwalde am Bungsberg,50,2507,1536445,926445,-
01055100,Sierksdorf,50,1563,1454938,1454938,-
01055100,Süsel,41,5002,8507163,7010,-
01055200,"Eutin, Stadt",41,17185,59845081,142702,-
01055200,"Neustadt in Holstein, Stadt",41,15565,55325771,51602781,-
01055200,Timmendorfer Strand,41,8327,2585714,2585714,-
01055300,Gremersdorf,50,1618,491912,491912,-
01055300,Großenbrode,50,2203,-,-,-
01055300,Göhl,50,1113,1040562,1025978,14584
01055300,Heringsdorf,50,1142,81962,-,-
01055300,Neukirchen,50,1193,228876,-,-
01055300,"Oldenburg in Holstein, Stadt",41,9819,28596618,46443,-
01055300,"Oldenburg-Land, Amtsverwaltung",55,9429,200165,200165,-
01055300,Wangels,50,2160,710334,710334,-
01055400,"Bad Schwartau, Stadt",41,20028,11631075,-,-
01055400,Scharbeutz,41,11689,34110736,55229,-
01055500,Kellenhusen (Ostsee),41,1171,16000,-,-
01055500,Ratekau,41,15416,2128137,166200,-
01055600,Beschendorf,50,582,-,-,-
01055600,Damlos,50,624,-,-,-
01055600,"Fehmarn, Stadt",41,13408,14449532,-,-
01055600,Grömitz,41,6895,7261771,-,-
01055600,Harmsdorf,50,687,-,-,-
01055600,Kabelhorst,50,408,-,-,-
01055600,Lensahn,50,5075,185193,185193,-
01055600,"Lensahn, Amtsverwaltung",55,8720,-,-,-
01055600,Manhagen,50,386,-,-,-
01055600,Riepsdorf,50,958,-,-,-
01055700,Bosau,41,3384,1858820,-,-
01055800,Grube,41,1062,168600,168600,-
01055800,Malente,41,10812,16021566,14961663,-
01056000,Appen,50,4735,2931637,2931637,-
01056000,Bevern,50,603,-,-,-
01056000,Bilsen,50,813,-,-,-
01056000,Bokholt-Hanredder,50,1332,-,-,-
01056000,Bullenkuhlen,50,389,-,-,-
01056000,Ellerhoop,50,1509,242875,242875,-
01056000,"Geest und Marsch Südholstein, Amtsverwaltung",55,24113,-,-,-
01056000,Groß Nordende,50,831,16851,-,-
01056000,Groß Offenseth-Aspern,50,466,-,-,-
01056000,Haselau,50,1136,-,-,-
01056000,Haseldorf,50,1849,1102383,969360,133023
01056000,Heede,50,844,172875,-,-
01056000,Heidgraben,50,2736,5537116,-,-
01056000,Heist,50,2962,-,-,-
01056000,Hemdingen,50,1749,983072,983072,-
01056000,Hetlingen,50,1450,2038780,-,-
01056000,Holm,50,3317,3443563,-,-
01056000,Langeln,50,597,-,-,-
01056000,Lutzhorn,50,786,-,-,-
01056000,Moorrege,50,4592,2803081,327311,-
01056000,Neuendeich,50,505,707366,-,-
01056000,"Rantzau, Amtsverwaltung",55,9088,308520,308520,-
01056000,"Wedel, Stadt",41,34624,110762530,94322024,-
01056010,"Pinneberg, Kreisverwaltung",32,322516,28980809,28980809,-
01056100,Hasloh,41,3880,8067775,8067775,-
01056100,"Quickborn, Stadt",41,22462,81685267,15959,-
01056200,"Barmstedt, Stadt",41,10400,27164143,25080428,-
01056300,Rellingen,41,14781,39939364,-,-
01056400,"Schenefeld, Stadt",41,19728,1425507,1413784,-
01056500,Bönningstedt,41,4556,3398450,-,-
01056500,"Elmshorn, Stadt",41,51445,119850598,66408220,-
01056500,Helgoland,41,1300,7033133,4015146,-
01056600,Bokel,50,571,19291,-,-
01056600,Brande-Hörnerkirchen,50,1756,478617,-,-
01056600,"Elmshorn-Land, Amtsverwaltung",55,13466,249900,249900,-
01056600,"Hörnerkirchen, Amtsverwaltung",55,4022,2834335,2834335,-
01056600,Klein Nordende,50,3408,417900,417900,-
01056600,Klein Offenseth-Sparrieshoop,50,3124,951175,350000,-
01056600,Kölln-Reisiek,50,3431,-,-,-
01056600,Osterhorn,50,418,1656,1656,-
01056600,Raa-Besenbek,50,548,-,-,-
01056600,Seester,50,1045,138800,138800,-
01056600,Seestermühe,50,951,606400,606400,-
01056600,Seeth-Ekholt,50,959,-,-,-
01056600,Westerhorn,50,1277,8312,-,-
01056700,Borstel-Hohenraden,50,2409,4079413,3070264,1009149
01056700,Ellerbek,50,4345,3636256,30678,-
01056700,Kummerfeld,50,2336,4014225,-,-
01056700,"Pinnau, Amtsverwaltung",55,13648,685720,12400,-
01056700,Prisdorf,50,2300,3226226,3226226,-
01056700,Tangstedt,50,2258,-,-,-
01056800,Halstenbek,41,17974,64741366,1057495,11000000
01056800,"Tornesch, Stadt",41,14303,34164604,173301,5269400
01056900,"Pinneberg, Stadt",41,44285,104372103,83861849,-
01056900,"Uetersen, Stadt",41,18441,11651987,8337292,-
01057010,"Plön, Kreisverwaltung",32,130486,26179897,26179897,-
01057100,Ascheberg (Holstein),41,3154,1133734,1133734,-
01057100,"Schwentinental, Stadt",41,14030,27832914,428,-
01057200,Heikendorf,50,8427,26613801,-,-
01057200,Mönkeberg,50,4040,25888012,25888012,-
01057200,"Preetz, Stadt",41,16428,25840310,21016470,-
01057200,"Schrevenborn, Amtsverwaltung",55,19274,-,-,-
01057200,Schönkirchen,50,6807,-,-,-
01057500,Barsbek,50,576,-,-,-
01057500,Belau,50,384,174124,174124,-
01057500,Bendfeld,50,210,178772,178772,-
01057500,"Bokhorst-Wankendorf, Amtsverwaltung",55,7892,1033909,716011,-
01057500,Brodersdorf,50,407,92690,92690,-
01057500,Dobersdorf,50,1108,554172,18910,-
01057500,Fahren,50,136,-,-,-
01057500,Fargau-Pratjau,50,751,116814,-,-
01057500,Fiefbergen,50,516,305268,-,-
01057500,Großharrie,50,497,-,-,-
01057500,Höhndorf,50,464,9286,-,-
01057500,Krokau,50,399,17027,-,-
01057500,Krummbek,50,400,359688,299598,-
01057500,Köhn,50,769,263326,-,-
01057500,Laboe,50,5528,7841722,27058,-
01057500,Lammershagen,50,248,342028,327147,14881
01057500,Lutterbek,50,320,665749,-,-
01057500,Martensrade,50,959,2556016,-,93581
01057500,Mucheln,50,569,-,-,-
01057500,Passade,50,360,-,-,-
01057500,Prasdorf,50,463,4771717,4572889,198828
01057500,"Probstei, Amtsverwaltung",55,22433,1300650,-,-
01057500,Probsteierhagen,50,2401,3315530,-,-
01057500,Rendswühren,50,742,386600,386600,-
01057500,Ruhwinkel,50,962,292500,-,-
01057500,Schillsdorf,50,842,-,-,-
01057500,Schlesen,50,565,771525,-,-
01057500,Schönberg (Holstein),50,6183,17830892,-,-
01057500,Selent,50,1708,12777269,12555919,-
01057500,"Selent/Schlesen, Amtsverwaltung",55,5908,2179153,2179153,-
01057500,Stakendorf,50,473,488442,-,-
01057500,Stein,50,858,951049,951049,-
01057500,Stolpe,50,1243,2159235,-,-
01057500,Stoltenberg,50,334,124793,4093,120700
01057500,Tasdorf,50,329,-,-,-
01057500,Wankendorf,50,2893,2072557,2072557,-
01057500,Wendtorf,50,967,1669055,-,-
01057500,Wisch,50,669,-,-,-
01057700,Barmissen,50,158,-,-,-
01057700,Behrensdorf (Ostsee),50,662,15274,15274,-
01057700,Blekendorf,50,1640,1272885,-,-
01057700,Boksee,50,471,270033,-,-
